date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:08	10156/10156	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:51%20GMT	https://www.go2ubl.com/nl/publicaties/?id=50	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/nl/publicaties/index0c98.html	(from https://www.go2ubl.com/)
10:54:09	34601/34601	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:51%20GMT	https://www.go2ubl.com/NL?id=50	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/NL0c98.html	(from https://www.go2ubl.com/)
10:54:09	1979313/1979313	---M--	200	added ('OK')	image/png	etag:%227270_234F384C-0369-4556-A546-A61684983DF9_%22	https://www.go2ubl.com/Image.ashx?id=7270_234F384C-0369-4556-A546-A61684983DF9_	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/Imageb275.png	(from https://www.go2ubl.com/)
10:54:09	16009/16009	---M--	200	added ('OK')	image/png	etag:%227270_156C717B-1E56-4392-A20A-BB6F3CA3DAA1_%22	https://www.go2ubl.com/Image.ashx?id=7270_156C717B-1E56-4392-A20A-BB6F3CA3DAA1_	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/Image34b1.png	(from https://www.go2ubl.com/)
10:54:10	34659/34659	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:53%20GMT	https://www.go2ubl.com/NL?id=5	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/NLd61c.html	(from https://www.go2ubl.com/)
10:54:11	34678/34678	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:54%20GMT	https://www.go2ubl.com/NL?id=4	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/NLdcfd.html	(from https://www.go2ubl.com/)
10:54:12	12166/12166	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:55%20GMT	https://www.go2ubl.com/nl/publicaties/?id=49	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/nl/publicaties/index2568.html	(from https://www.go2ubl.com/)
10:54:13	36608/36608	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:55%20GMT	https://www.go2ubl.com/NL?id=49	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/NL2568.html	(from https://www.go2ubl.com/)
10:54:13	4959/4959	---M--	200	added ('OK')	image/png	etag:%227270_CF64141B-1FDD-48C8-95B6-09DDF8A13246_%22	https://www.go2ubl.com/Image.ashx?id=7270_CF64141B-1FDD-48C8-95B6-09DDF8A13246_	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/Image851e.png	(from https://www.go2ubl.com/)
10:54:14	3906/3906	---M--	200	added ('OK')	image/png	etag:%227270_E3F65EB1-8FCA-4B85-902F-09AFA95DBD55_%22	https://www.go2ubl.com/Image.ashx?id=7270_E3F65EB1-8FCA-4B85-902F-09AFA95DBD55_	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/Imageb2f7.png	(from https://www.go2ubl.com/)
10:54:14	11731/11731	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Dec%202020%2009:53:58%20GMT	https://www.go2ubl.com/responsible-disclosure	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/responsible-disclosure.html	(from https://www.go2ubl.com/)
10:54:16	149/149	---M-Z	200	added ('OK')	text/plain	etag:%22804cdf8e531d31:0%22	https://secure.go2ubl.com/robots.txt		(from )
10:54:16	1917248/1917248	---M--	200	added ('OK')	application/pdf	etag:%227270_D5A53E99-EFF1-4398-AEEC-919D767FFC8F_%22	https://www.go2ubl.com/Image.ashx?id=7270_D5A53E99-EFF1-4398-AEEC-919D767FFC8F_	C:/My%20Web%20Sites/yourubl/www.go2ubl.com/Imagea481.pdf	(from https://www.go2ubl.com/)
10:54:18	289858/289858	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Dec%202020%2009:53:43%20GMT	https://secure.go2ubl.com/Content/go2ubl-v2-css?v=20200805	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/Content/go2ubl-v2-cssee04.css	(from https://secure.go2ubl.com/converter)
10:54:18	177/177	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Dec%202020%2009:54:16%20GMT	http://ajax.aspnetcdn.com/ajax/jquery/jquery-2.0.0.min.js	C:/My%20Web%20Sites/yourubl/ajax.aspnetcdn.com/ajax/jquery/jquery-2.0.0.min.47.delayed	(from https://secure.go2ubl.com/converter)
10:54:19	83095/83095	---M-Z	200	added ('OK')	application/javascript	etag:%22f7d46bccc33d21:0%22	https://ajax.aspnetcdn.com/ajax/jquery/jquery-2.0.0.min.js	C:/My%20Web%20Sites/yourubl/ajax.aspnetcdn.com/ajax/jquery/jquery-2.0.0.min.js	(from https://secure.go2ubl.com/converter)
10:54:19	238988/238988	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2030%20Dec%202020%2009:53:46%20GMT	https://secure.go2ubl.com/bundles/jqueryui?v=oBdZ-ax5j2eUkCs9QYzQku9xTba7BgjIymAiZMTZvlA1	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/bundles/jqueryui8eb9	(from https://secure.go2ubl.com/converter)
10:54:20	10999/10999	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2030%20Dec%202020%2009:53:47%20GMT	https://secure.go2ubl.com/bundles/modernizr?v=wBEWDufH_8Md-Pbioxomt90vm6tJN2Pyy9u9zHtWsPo1	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/bundles/modernizr8fce	(from https://secure.go2ubl.com/converter)
10:54:20	119252/119252	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2030%20Dec%202020%2009:53:47%20GMT	https://secure.go2ubl.com/bundles/application?v=20201216	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/bundles/applicationf20c	(from https://secure.go2ubl.com/converter)
10:54:21	6055/6055	---M--	200	added ('OK')	image/png	etag:%22807910ae531d31:0%22	https://secure.go2ubl.com/Content/images/go2ubl-logo.png	C:/My%20Web%20Sites/yourubl/secure.go2ubl.com/Content/images/go2ubl-logo.png	(from https://secure.go2ubl.com/converter)
